Hero,Appeared With
BROTHERS GRIMM II/BA,"ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK , IRON MAN IV/JAMES R., ERWIN, MORLEY, VIBRO/DR. FRANCIS VI"
MORLEY,"ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK , IRON MAN IV/JAMES R., ERWIN, MORLEY, VIBRO/DR. FRANCIS VI"
"STANE, OBADIAH","IRON MAN IV/JAMES R., ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK , ERWIN, MORLEY"
MASTER MOLD II,"BRIDGE, GEORGE WASHI, BRICKMAN, SEN. MILES, GILBERTI, ROSE, SUMMERS, NATHAN CHRI, MASTER MOLD III, KRAGG, GEN., CREED, GRAYDON"
MASTER MOLD III,"BRIDGE, GEORGE WASHI, BRICKMAN, SEN. MILES, GILBERTI, ROSE, MASTER MOLD II, SUMMERS, NATHAN CHRI, KRAGG, GEN., CREED, GRAYDON"
"GILBERTI, ROSE","BRIDGE, GEORGE WASHI, BRICKMAN, SEN. MILES, MASTER MOLD II, SUMMERS, NATHAN CHRI, MASTER MOLD III, KRAGG, GEN., CREED, GRAYDON"
"CREED, GRAYDON","BRIDGE, GEORGE WASHI, BRICKMAN, SEN. MILES, GILBERTI, ROSE, MASTER MOLD II, SUMMERS, NATHAN CHRI, MASTER MOLD III, KRAGG, GEN."
"BRIDGE, GEORGE WASHI","BRICKMAN, SEN. MILES, GILBERTI, ROSE, MASTER MOLD II, SUMMERS, NATHAN CHRI, MASTER MOLD III, KRAGG, GEN., CREED, GRAYDON"
"KRAGG, GEN.","BRIDGE, GEORGE WASHI, BRICKMAN, SEN. MILES, GILBERTI, ROSE, MASTER MOLD II, SUMMERS, NATHAN CHRI, MASTER MOLD III, CREED, GRAYDON"
"BRICKMAN, SEN. MILES","BRIDGE, GEORGE WASHI, GILBERTI, ROSE, MASTER MOLD II, SUMMERS, NATHAN CHRI, MASTER MOLD III, KRAGG, GEN., CREED, GRAYDON"
MAJESTON ZELIA,"PERRIKUS, KINCAID, DR. JANE FO, THING/BENJAMIN J. GR, KINCAID, DR. KEITH, COLLINS, DEMITRIUS, IRON MAN/TONY STARK , DIAMOND, CHUCKY, SPIDER-MAN/PETER PAR, ADVA, FAIRMONT, HANNAH, THOR/DR. DONALD BLAK"
ADVA,"PERRIKUS, KINCAID, DR. JANE FO, THING/BENJAMIN J. GR, KINCAID, DR. KEITH, COLLINS, DEMITRIUS, IRON MAN/TONY STARK , DIAMOND, CHUCKY, SPIDER-MAN/PETER PAR, MAJESTON ZELIA, FAIRMONT, HANNAH, THOR/DR. DONALD BLAK"
"DIAMOND, CHUCKY","PERRIKUS, KINCAID, DR. JANE FO, THING/BENJAMIN J. GR, KINCAID, DR. KEITH, COLLINS, DEMITRIUS, IRON MAN/TONY STARK , SPIDER-MAN/PETER PAR, ADVA, MAJESTON ZELIA, FAIRMONT, HANNAH, THOR/DR. DONALD BLAK"
"KINCAID, DR. KEITH","PERRIKUS, KINCAID, DR. JANE FO, THING/BENJAMIN J. GR, COLLINS, DEMITRIUS, IRON MAN/TONY STARK , DIAMOND, CHUCKY, SPIDER-MAN/PETER PAR, ADVA, MAJESTON ZELIA, FAIRMONT, HANNAH, THOR/DR. DONALD BLAK"
"FERRARI, CONNIE","CHAKARA, KANU, JARVIS, EDWIN , CARTER, SHARON, COUNT NEFARIA, LUCHI, MOSLEY, WARDEN, CAPTAIN AMERICA, RAMIREZ, JAVIER, CHAKARA, MADAN, PROTOCIDE/PRIVATE CL, BILLUPS, AGENT, FURY, COL. NICHOLAS , THOR/DR. DONALD BLAK"
"CHAKARA, KANU","FERRARI, CONNIE, MOSLEY, WARDEN, CHAKARA, MADAN, CAPTAIN AMERICA"
"CHAKARA, MADAN","CHAKARA, KANU, MOSLEY, WARDEN, FERRARI, CONNIE, CAPTAIN AMERICA"
"MOSLEY, WARDEN","CHAKARA, KANU, CHAKARA, MADAN, FERRARI, CONNIE, CAPTAIN AMERICA"
KLAW/ULYSSES KLAW,"ZABU, IRON MAN/TONY STARK , KA-ZAR/KEVIN PLUNDER, CAPTAIN AMERICA"
LYJA LAZERFIST [SKRU,"INVISIBLE WOMAN/SUE , PSI-LORD/FRANKLIN BE, THING/BENJAMIN J. GR, DEVLOR, VIBRAXAS/N'KANO, HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, ANT-MAN II/SCOTT HAR, UATU, RICHARDS, NATHANIEL, KRISTOFF/KRISTOFF VE"
DEVLOR,"PSI-LORD/FRANKLIN BE, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, VIBRAXAS/N'KANO, HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, ANT-MAN II/SCOTT HAR, UATU, RICHARDS, NATHANIEL, KRISTOFF/KRISTOFF VE"
VIBRAXAS/N'KANO,"PSI-LORD/FRANKLIN BE, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, DEVLOR, HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, ANT-MAN II/SCOTT HAR, UATU, RICHARDS, NATHANIEL, KRISTOFF/KRISTOFF VE"
"RICHARDS, NATHANIEL","PSI-LORD/FRANKLIN BE, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, DEVLOR, VIBRAXAS/N'KANO, HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, ANT-MAN II/SCOTT HAR, UATU, KRISTOFF/KRISTOFF VE"
PSI-LORD/FRANKLIN BE,"INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, DEVLOR, VIBRAXAS/N'KANO, HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, ANT-MAN II/SCOTT HAR, UATU, RICHARDS, NATHANIEL, KRISTOFF/KRISTOFF VE"
ANT-MAN II/SCOTT HAR,"INVISIBLE WOMAN/SUE , PSI-LORD/FRANKLIN BE, THING/BENJAMIN J. GR, DEVLOR, VIBRAXAS/N'KANO, HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, UATU, RICHARDS, NATHANIEL, KRISTOFF/KRISTOFF VE"
KRISTOFF/KRISTOFF VE,"INVISIBLE WOMAN/SUE , PSI-LORD/FRANKLIN BE, ZARRKO, ARTHUR, THING/BENJAMIN J. GR, DEVLOR, VIBRAXAS/N'KANO, DR. DOOM/VICTOR VON , IRON MAN/TONY STARK , HUNTARA/MARY ELIZABE, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, ANT-MAN II/SCOTT HAR, UATU, RICHARDS, NATHANIEL, TERRAX II/TYROS, CAPTAIN AMERICA"
HUNTARA/MARY ELIZABE,"INVISIBLE WOMAN/SUE , PSI-LORD/FRANKLIN BE, THING/BENJAMIN J. GR, DEVLOR, VIBRAXAS/N'KANO, HUMAN TORCH/JOHNNY S, LYJA LAZERFIST [SKRU, ANT-MAN II/SCOTT HAR, UATU, RICHARDS, NATHANIEL, KRISTOFF/KRISTOFF VE"
WHITE TIGER/HECTOR A,SPIDER-MAN/PETER PAR
SHA SHAN,"THOMPSON, EUGENE FLA, WATSON-PARKER, MARY , ROBERTSON, JOE, PARKER, MAY, GRANT, GLORIA GLORY, HITMAN/LT. BURT KENY, MORBIUS/DR. MICHAEL , LIGHTMASTER/EDWARD L, SPIDER-MAN/PETER PAR, MORGAN, VULTURE/ADRIAN TOOME, WATSON, ANNA, TARANTULA/ANTON MIGU"
TARANTULA/ANTON MIGU,"THOMPSON, EUGENE FLA, ROBERTSON, JOE, PARKER, MAY, GRANT, GLORIA GLORY, LIGHTMASTER/EDWARD L, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, LIZARD/DR. CURTIS CO, KINGPIN/WILSON FISK, WATSON, ANNA, JAMESON, J. JONAH, SHA SHAN, WATSON-PARKER, MARY "
LIGHTMASTER/EDWARD L,"THOMPSON, EUGENE FLA, ROBERTSON, JOE, PARKER, MAY, GRANT, GLORIA GLORY, TARANTULA/ANTON MIGU, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, LIZARD/DR. CURTIS CO, KINGPIN/WILSON FISK, WATSON, ANNA, JAMESON, J. JONAH, SHA SHAN, WATSON-PARKER, MARY "
KRAVEN THE HUNTER/SE,"ROBERTSON, JOE, DR. OCTOPUS/OTTO OCT, MR. FANTASTIC/REED R, IRON MAN/TONY STARK , WARREN, MR., GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, SANDMAN/WILLIAM BAKE, DAREDEVIL/MATT MURDO, PARKER, MAY, GRANT, GLORIA GLORY, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, KINGPIN/WILSON FISK, CHAMELEON/DMITRI SME, WATSON, ANNA, CAPTAIN AMERICA, BROMWELL, DR., TARANTULA/ANTON MIGU, ANT-MAN/DR. HENRY J., LIGHTMASTER/EDWARD L, LEEDS, NED, LIZARD/DR. CURTIS CO, JAMESON, J. JONAH, LEEDS, BETTY BRANT, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, SPIDER-MAN/PETER PAR, THOR/DR. DONALD BLAK"
MORGAN,"THOMPSON, EUGENE FLA, PARKER, MAY, GRANT, GLORIA GLORY, HITMAN/LT. BURT KENY, MORBIUS/DR. MICHAEL , SPIDER-MAN/PETER PAR, VULTURE/ADRIAN TOOME, WATSON, ANNA, SHA SHAN, WATSON-PARKER, MARY "
HITMAN/LT. BURT KENY,"THOMPSON, EUGENE FLA, MORGAN, SPIDER-MAN/PETER PAR, VULTURE/ADRIAN TOOME, SHA SHAN, WATSON-PARKER, MARY "
"KLINE, MR.","CRANDAL, BEN, GUARDSMAN/KEVIN O'BR, IRON MAN/TONY STARK , RODGERS, MARIANNE, SITWELL, JASPER, NIGHT PHANTOM II, BYRD, SEN. HARRINGTO, DEMITRIUS, SLASHER, CAPTAIN AMERICA"
"CRANDAL, BEN","GUARDSMAN/KEVIN O'BR, IRON MAN/TONY STARK , RODGERS, MARIANNE, SITWELL, JASPER, BYRD, SEN. HARRINGTO, DEMITRIUS, SLASHER, KLINE, MR."
GUARDSMAN/KEVIN O'BR,"CRANDAL, BEN, IRON MAN/TONY STARK , RODGERS, MARIANNE, NIGHT PHANTOM II, WHITE DRAGON, FURY, COL. NICHOLAS , KLINE, MR., CAPTAIN AMERICA"
"RODGERS, MARIANNE","CRANDAL, BEN, GUARDSMAN/KEVIN O'BR, IRON MAN/TONY STARK , SITWELL, JASPER, NIGHT PHANTOM II, FURY, COL. NICHOLAS , WHITE DRAGON, BYRD, SEN. HARRINGTO, HOGAN, VIRGINIA PEPP, FIREBRAND/GARY GILBE, DEMITRIUS, SUPER-ADAPTOID/ALESS, SLASHER, KLINE, MR., CAPTAIN AMERICA"
"SITWELL, JASPER","RODGERS, MARIANNE, CRANDAL, BEN, KLINE, MR., IRON MAN/TONY STARK "
SLASHER,"CRANDAL, BEN, IRON MAN/TONY STARK , RODGERS, MARIANNE, BYRD, SEN. HARRINGTO, DEMITRIUS, KLINE, MR."
DEMITRIUS,"CRANDAL, BEN, IRON MAN/TONY STARK , RODGERS, MARIANNE, BYRD, SEN. HARRINGTO, SLASHER, KLINE, MR."
"BYRD, SEN. HARRINGTO","CRANDAL, BEN, IRON MAN/TONY STARK , RODGERS, MARIANNE, DEMITRIUS, SLASHER, KLINE, MR."
WHITE DRAGON,"RODGERS, MARIANNE, FURY, COL. NICHOLAS , GUARDSMAN/KEVIN O'BR, IRON MAN/TONY STARK "
NIGHT PHANTOM II,"GUARDSMAN/KEVIN O'BR, IRON MAN/TONY STARK , RODGERS, MARIANNE, KLINE, MR., CAPTAIN AMERICA"
KA-ZAR/KEVIN PLUNDER,"CARTER, SHARON, COUNT NEFARIA, LUCHI, MANNING, DR., PROTOCIDE/PRIVATE CL, KLAW/ULYSSES KLAW, ZABU, PLUNDER, ADAM KYLE M, SHANNA/SHANNA O'HARA, BILLUPS, AGENT, CAPTAIN AMERICA"
"BILLUPS, AGENT","CARTER, SHARON, JARVIS, EDWIN , COUNT NEFARIA, LUCHI, MANNING, DR., PROTOCIDE/PRIVATE CL, ZABU, PLUNDER, ADAM KYLE M, KA-ZAR/KEVIN PLUNDER, FERRARI, CONNIE, RAMIREZ, JAVIER, FURY, COL. NICHOLAS , SHANNA/SHANNA O'HARA, THOR/DR. DONALD BLAK, CAPTAIN AMERICA"
PROTOCIDE/PRIVATE CL,"CARTER, SHARON, JARVIS, EDWIN , COUNT NEFARIA, LUCHI, MANNING, DR., ZABU, PLUNDER, ADAM KYLE M, KA-ZAR/KEVIN PLUNDER, FERRARI, CONNIE, RAMIREZ, JAVIER, FURY, COL. NICHOLAS , SHANNA/SHANNA O'HARA, BILLUPS, AGENT, THOR/DR. DONALD BLAK, CAPTAIN AMERICA"
ZABU,"CARTER, SHARON, COUNT NEFARIA, LUCHI, MANNING, DR., PROTOCIDE/PRIVATE CL, KLAW/ULYSSES KLAW, PLUNDER, ADAM KYLE M, KA-ZAR/KEVIN PLUNDER, SHANNA/SHANNA O'HARA, BILLUPS, AGENT, CAPTAIN AMERICA"
"PLUNDER, ADAM KYLE M","CARTER, SHARON, COUNT NEFARIA, LUCHI, MANNING, DR., PROTOCIDE/PRIVATE CL, ZABU, KA-ZAR/KEVIN PLUNDER, SHANNA/SHANNA O'HARA, BILLUPS, AGENT, CAPTAIN AMERICA"
"MANNING, DR.","CARTER, SHARON, COUNT NEFARIA, LUCHI, PROTOCIDE/PRIVATE CL, ZABU, PLUNDER, ADAM KYLE M, KA-ZAR/KEVIN PLUNDER, SHANNA/SHANNA O'HARA, BILLUPS, AGENT, CAPTAIN AMERICA"
SHANNA/SHANNA O'HARA,"CARTER, SHARON, COUNT NEFARIA, LUCHI, MANNING, DR., ZABU, PLUNDER, ADAM KYLE M, KA-ZAR/KEVIN PLUNDER, PROTOCIDE/PRIVATE CL, BILLUPS, AGENT, CAPTAIN AMERICA"
FIREBRAND/GARY GILBE,"RODGERS, MARIANNE, IRON MAN/TONY STARK "
"RAMIREZ, JAVIER","CARTER, SHARON, JARVIS, EDWIN , COUNT NEFARIA, LUCHI, RAMIREZ, ALMA, CAPTAIN AMERICA, FERRARI, CONNIE, RAMIREZ, ROSA, PROTOCIDE/PRIVATE CL, BILLUPS, AGENT, FURY, COL. NICHOLAS , THOR/DR. DONALD BLAK"
DAYTRIPPER/AMANDA SE,NIGHTCRAWLER/KURT WA
NIGHTCRAWLER/KURT WA,"KNIGHT ERRANT/MATSON, PHOENIX III/RACHEL S, STORM/ORORO MUNROE S, WIDGET, CERISE II [SHI'AR], USAGENT/CAPTAIN JOHN, MOONDRAGON/HEATHER D, WONDER MAN/SIMON WIL, CAPTAIN BRITAIN/BRIA, VANISHER, CAPTAIN AMERICA, SHADOWCAT/KATHERINE , QUASAR III/WENDELL V, BALLANTINE, KAYLA, MEGGAN, COLOSSUS II/PETER RA, BLACK PANTHER/T'CHAL, TANAKA, KENJIRO, MAKKARI/MIKE KHARY/I, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, THOMAS, COMMANDER DA, ICON/DR. U'MBAYA A'K, IRON MAN IV/JAMES R., LOCKHEED, DAYTRIPPER/AMANDA SE, MODRED THE MYSTIC"
GOG III,"MAGOG II, MAJOR DOMO, PROFESSOR X/CHARLES , ARIZE, BEAST/HENRY &HANK& P, MOJO, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , GAMBIT/REMY LEBEAU , FORGE, QUARK, PSYLOCKE/ELISABETH B, ROGUE /"
MAGOG II,"MAJOR DOMO, ARIZE, BEAST/HENRY &HANK& P, ROGUE /, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, GAMBIT/REMY LEBEAU , PSYLOCKE/ELISABETH B, FORGE, QUARK, GOG III, MOJO, PROFESSOR X/CHARLES "
ARIZE,"MAJOR DOMO, MAGOG II, BEAST/HENRY &HANK& P, ROGUE /, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, GAMBIT/REMY LEBEAU , PSYLOCKE/ELISABETH B, FORGE, QUARK, GOG III, MOJO, PROFESSOR X/CHARLES "
QUARK,"MAJOR DOMO, MAGOG II, ARIZE, BEAST/HENRY &HANK& P, ROGUE /, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, GAMBIT/REMY LEBEAU , PSYLOCKE/ELISABETH B, FORGE, GOG III, MOJO, PROFESSOR X/CHARLES "
MOJO,"MAJOR DOMO, MAGOG II, ARIZE, BEAST/HENRY &HANK& P, ROGUE /, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, GAMBIT/REMY LEBEAU , FORGE, QUARK, GOG III, PSYLOCKE/ELISABETH B, PROFESSOR X/CHARLES "
GAMBIT/REMY LEBEAU ,"MAJOR DOMO, JUBILEE/JUBILATION L, STORM/ORORO MUNROE S, MOJO, ROGUE /, PAYGE, REEVA, KAUR, BENAZIR, ANGEL/WARREN KENNETH, QUARK, MAGOG II, SHAW, SHINOBI, BISHOP /, KINE, BENEDICT, FORGE, GOG III, PSYLOCKE/ELISABETH B, JARVIS, EDWIN , ARIZE, BEAST/HENRY &HANK& P, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, PROFESSOR X/CHARLES "
MAJOR DOMO,"MAGOG II, PROFESSOR X/CHARLES , ARIZE, BEAST/HENRY &HANK& P, WOLVERINE/LOGAN , MOJO, CYCLOPS/SCOTT SUMMER, GAMBIT/REMY LEBEAU , FORGE, QUARK, GOG III, PSYLOCKE/ELISABETH B, ROGUE /"
FORGE,"MAGOG II, MAJOR DOMO, PROFESSOR X/CHARLES , ARIZE, BEAST/HENRY &HANK& P, MOJO, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , GAMBIT/REMY LEBEAU , QUARK, GOG III, PSYLOCKE/ELISABETH B, ROGUE /"
"SHAW, SHINOBI","JARVIS, EDWIN , JUBILEE/JUBILATION L, BEAST/HENRY &HANK& P, BISHOP /, STORM/ORORO MUNROE S, KINE, BENEDICT, GAMBIT/REMY LEBEAU , PAYGE, REEVA, KAUR, BENAZIR, ANGEL/WARREN KENNETH, PROFESSOR X/CHARLES "
BISHOP /,"SHAW, SHINOBI, JARVIS, EDWIN , JUBILEE/JUBILATION L, BEAST/HENRY &HANK& P, STORM/ORORO MUNROE S, KINE, BENEDICT, GAMBIT/REMY LEBEAU , PAYGE, REEVA, KAUR, BENAZIR, ANGEL/WARREN KENNETH, PROFESSOR X/CHARLES "
"KINE, BENEDICT","SHAW, SHINOBI, JARVIS, EDWIN , JUBILEE/JUBILATION L, BEAST/HENRY &HANK& P, STORM/ORORO MUNROE S, BISHOP /, GAMBIT/REMY LEBEAU , PAYGE, REEVA, KAUR, BENAZIR, ANGEL/WARREN KENNETH, PROFESSOR X/CHARLES "
"PAYGE, REEVA","SHAW, SHINOBI, JARVIS, EDWIN , JUBILEE/JUBILATION L, BEAST/HENRY &HANK& P, STORM/ORORO MUNROE S, BISHOP /, KINE, BENEDICT, GAMBIT/REMY LEBEAU , KAUR, BENAZIR, ANGEL/WARREN KENNETH, PROFESSOR X/CHARLES "
"KAUR, BENAZIR","SHAW, SHINOBI, JARVIS, EDWIN , JUBILEE/JUBILATION L, BEAST/HENRY &HANK& P, STORM/ORORO MUNROE S, BISHOP /, KINE, BENEDICT, GAMBIT/REMY LEBEAU , PAYGE, REEVA, ANGEL/WARREN KENNETH, PROFESSOR X/CHARLES "
"VAUGHAN, MRS.","QUASAR III/WENDELL V, BALLANTINE, KAYLA, UNBEING/BILLY BETELH, VAUGHAN, GAYLE, BETELHEIM, NORMA, ORIGIN/PHYLLIS TWOMB"
"BETELHEIM, NORMA","QUASAR III/WENDELL V, BALLANTINE, KAYLA, UNBEING/BILLY BETELH, VAUGHAN, MRS., VAUGHAN, GAYLE, ORIGIN/PHYLLIS TWOMB"
QUASAR III/WENDELL V,"QUICKSILVER/PIETRO M, ARCANNA/ARCANNA JONE, REJECT/RAN-SAK [DEVI, MAELSTROM/MALCOLM ST, MINERVA [KREE], CAPTAIN MARVEL II/MO, TEN FOR, RUNNER, PHOENIX III/RACHEL S, WIDGET, VAUGHAN, GAYLE, EON, BLACK RACER/, WHIZZER III/JAMES SA, HALFLIFE, USAGENT/CAPTAIN JOHN, DR. STRANGE/STEPHEN , DIAMONDHEAD/DYKER, OVERMIND/GROM, SHANGA, KRONOS, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, RED GUARDIAN III/DR., JAKAR, WHIZZER II/STANLEY S, HAYWIRE/, FLASH/BARRY ALLEN/BU, TUTINAX, SERGEI, WONDER MAN/SIMON WIL, CHARM, CAPTAIN BRITAIN/BRIA, HYPERION, POWER PRINCESS/ZARDA, EGO-PRIME, BALLANTINE, KAYLA, ATLAS, KRO [DEVIANT], UNBEING/BILLY BETELH, GARGOYLE II/ISAAC CH, MEGGAN, BETELHEIM, NORMA, 4-D MAN/MERCURIO, JACK OF HEARTS/JACK , BI-BEAST II, SHAPE, DRAGONFLY/VERONICA D, BLOOD BROTHERS, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, MAKKARI/MIKE KHARY/I, BEAUTY, TRUTH, ROCKET RACCOON, DR. SPECTRUM/JOSEPH , VAUGHAN, MRS., STARDUST/T'URIN G'AR, KRAKOA, STRANGER, ELO, SUPER SABRE/MARTIN F, ORIGIN/PHYLLIS TWOMB, MASTER ELO, MODRED THE MYSTIC, NIGHTCRAWLER/KURT WA"
ORIGIN/PHYLLIS TWOMB,"QUASAR III/WENDELL V, BALLANTINE, KAYLA, UNBEING/BILLY BETELH, VAUGHAN, MRS., VAUGHAN, GAYLE, BETELHEIM, NORMA"
"VAUGHAN, GAYLE","QUASAR III/WENDELL V, BALLANTINE, KAYLA, UNBEING/BILLY BETELH, VAUGHAN, MRS., BETELHEIM, NORMA, ORIGIN/PHYLLIS TWOMB"
"BALLANTINE, KAYLA","QUICKSILVER/PIETRO M, ARCANNA/ARCANNA JONE, REJECT/RAN-SAK [DEVI, MAELSTROM/MALCOLM ST, MINERVA [KREE], CAPTAIN MARVEL II/MO, PHOENIX III/RACHEL S, RUNNER, WIDGET, VAUGHAN, GAYLE, EON, BLACK RACER/, WHIZZER III/JAMES SA, HALFLIFE, USAGENT/CAPTAIN JOHN, DR. STRANGE/STEPHEN , SHANGA, OVERMIND/GROM, KRONOS, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, RED GUARDIAN III/DR., JAKAR, WHIZZER II/STANLEY S, HAYWIRE/, FLASH/BARRY ALLEN/BU, TUTINAX, SERGEI, WONDER MAN/SIMON WIL, CHARM, CAPTAIN BRITAIN/BRIA, QUASAR III/WENDELL V, HYPERION, POWER PRINCESS/ZARDA, EGO-PRIME, ATLAS, KRO [DEVIANT], UNBEING/BILLY BETELH, GARGOYLE II/ISAAC CH, MEGGAN, BETELHEIM, NORMA, 4-D MAN/MERCURIO, JACK OF HEARTS/JACK , BI-BEAST II, SHAPE, DRAGONFLY/VERONICA D, BLOOD BROTHERS, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, MAKKARI/MIKE KHARY/I, BEAUTY, TRUTH, ROCKET RACCOON, DR. SPECTRUM/JOSEPH , VAUGHAN, MRS., STARDUST/T'URIN G'AR, KRAKOA, STRANGER, ELO, SUPER SABRE/MARTIN F, ORIGIN/PHYLLIS TWOMB, MASTER ELO, MODRED THE MYSTIC, NIGHTCRAWLER/KURT WA"
UNBEING/BILLY BETELH,"QUASAR III/WENDELL V, BALLANTINE, KAYLA, VAUGHAN, MRS., VAUGHAN, GAYLE, BETELHEIM, NORMA, ORIGIN/PHYLLIS TWOMB"
WHIZZER II/STANLEY S,"QUICKSILVER/PIETRO M, ARCANNA/ARCANNA JONE, MAELSTROM/MALCOLM ST, TEN FOR, RUNNER, EON, BLACK RACER/, WHIZZER III/JAMES SA, DR. STRANGE/STEPHEN , DIAMONDHEAD/DYKER, OVERMIND/GROM, SHANGA, KRONOS, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, RED GUARDIAN III/DR., JAKAR, FLASH/BARRY ALLEN/BU, HAYWIRE/, SERGEI, CHARM, QUASAR III/WENDELL V, HYPERION, POWER PRINCESS/ZARDA, EGO-PRIME, BALLANTINE, KAYLA, GARGOYLE II/ISAAC CH, 4-D MAN/MERCURIO, JACK OF HEARTS/JACK , BI-BEAST II, SHAPE, DRAGONFLY/VERONICA D, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, MAKKARI/MIKE KHARY/I, TRUTH, BEAUTY, ROCKET RACCOON, DR. SPECTRUM/JOSEPH , STARDUST/T'URIN G'AR, KRAKOA, STRANGER, SUPER SABRE/MARTIN F, CAPTAIN MARVEL II/MO"
ARCANNA/ARCANNA JONE,"QUICKSILVER/PIETRO M, MAELSTROM/MALCOLM ST, TEN FOR, RUNNER, EON, WHIZZER III/JAMES SA, BLACK RACER/, DR. STRANGE/STEPHEN , DIAMONDHEAD/DYKER, SHANGA, OVERMIND/GROM, KRONOS, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, RED GUARDIAN III/DR., JAKAR, WHIZZER II/STANLEY S, HAYWIRE/, FLASH/BARRY ALLEN/BU, SERGEI, CHARM, QUASAR III/WENDELL V, HYPERION, POWER PRINCESS/ZARDA, EGO-PRIME, BALLANTINE, KAYLA, GARGOYLE II/ISAAC CH, 4-D MAN/MERCURIO, JACK OF HEARTS/JACK , BI-BEAST II, SHAPE, DRAGONFLY/VERONICA D, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, MAKKARI/MIKE KHARY/I, BEAUTY, TRUTH, ROCKET RACCOON, DR. SPECTRUM/JOSEPH , STARDUST/T'URIN G'AR, KRAKOA, STRANGER, SUPER SABRE/MARTIN F, CAPTAIN MARVEL II/MO"
KRONOS,"ARCANNA/ARCANNA JONE, MAELSTROM/MALCOLM ST, EON, DR. STRANGE/STEPHEN , GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, RED GUARDIAN III/DR., WHIZZER II/STANLEY S, SERGEI, QUASAR III/WENDELL V, HYPERION, POWER PRINCESS/ZARDA, BALLANTINE, KAYLA, GARGOYLE II/ISAAC CH, JACK OF HEARTS/JACK , SHAPE, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, MAKKARI/MIKE KHARY/I, DR. SPECTRUM/JOSEPH "
EON,"QUICKSILVER/PIETRO M, ARCANNA/ARCANNA JONE, REJECT/RAN-SAK [DEVI, MAELSTROM/MALCOLM ST, MINERVA [KREE], TEN FOR, RUNNER, BLACK RACER/, WHIZZER III/JAMES SA, HALFLIFE, DR. STRANGE/STEPHEN , DIAMONDHEAD/DYKER, OVERMIND/GROM, KRONOS, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, RED GUARDIAN III/DR., FLASH/BARRY ALLEN/BU, WHIZZER II/STANLEY S, HAYWIRE/, TUTINAX, SERGEI, WONDER MAN/SIMON WIL, QUASAR III/WENDELL V, HYPERION, POWER PRINCESS/ZARDA, BALLANTINE, KAYLA, ATLAS, KRO [DEVIANT], GARGOYLE II/ISAAC CH, 4-D MAN/MERCURIO, JACK OF HEARTS/JACK , BI-BEAST II, SHAPE, DRAGONFLY/VERONICA D, BLOOD BROTHERS, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, MAKKARI/MIKE KHARY/I, DR. SPECTRUM/JOSEPH , STARDUST/T'URIN G'AR, STRANGER, ELO, SUPER SABRE/MARTIN F, CAPTAIN MARVEL II/MO, MASTER ELO"
